strategy,time_s,mass_kg
constant_speed,714.1536391267018,62608.36053134581
constant_speed,719.1536391267018,62544.39659482457
constant_speed,724.1536391267018,62480.49800716633
constant_speed,729.1536391267018,62416.664701607326
constant_speed,734.1536391267018,62352.89661145198
constant_speed,739.1536391267018,62289.19367007287
constant_speed,744.1536391267018,62225.55581091064
constant_speed,749.1536391267018,62161.98296747394
constant_speed,754.1536391267018,62098.47507333933
constant_speed,759.1536391267018,62035.03206215126
constant_speed,761.9167388253561,62000.0
constant_mach,0.0,72450.0
constant_mach,0.0003738312597157,72449.9945926722
constant_mach,0.0041121438568733,72449.94051943015
constant_mach,0.0414952698284491,72449.3997906021
constant_mach,0.415326529544207,72443.99286152307
constant_mach,4.153639126701786,72389.95945516437
constant_mach,9.153639126701789,72317.7914423488
constant_mach,14.153639126701789,72245.73950843778
constant_mach,19.153639126701787,72173.80323703798
constant_mach,24.153639126701787,72101.98221349712
constant_mach,29.153639126701787,72030.27602489437
constant_mach,34.15363912670179,71958.68426003082
constant_mach,39.15363912670179,71887.20650942001
constant_mach,44.15363912670179,71815.84236527854
constant_mach,49.15363912670179,71744.59142151668
constant_mach,54.15363912670179,71673.45327372912
constant_mach,59.15363912670179,71602.4275191857
constant_mach,64.15363912670179,71531.51375682229
constant_mach,69.15363912670179,71460.71158723162
constant_mach,74.15363912670179,71390.02061265429
constant_mach,79.15363912670179,71319.4404369697
constant_mach,84.15363912670179,71248.97066568717
constant_mach,89.15363912670179,71178.61090593704
constant_mach,94.1536391267018,71108.36076646182
constant_mach,99.1536391267018,71038.21985760744
constant_mach,104.1536391267018,70968.18779131456
constant_mach,109.1536391267018,70898.26418110984
constant_mach,114.1536391267018,70828.44864209741
constant_mach,119.1536391267018,70758.74079095025
constant_mach,124.1536391267018,70689.14024590176
constant_mach,129.1536391267018,70619.64662673726
constant_mach,134.1536391267018,70550.25955478565
constant_mach,139.1536391267018,70480.978652911
constant_mach,144.1536391267018,70411.80354550434
constant_mach,149.1536391267018,70342.7338584754
constant_mach,154.1536391267018,70273.7692192444
constant_mach,159.1536391267018,70204.90925673391
constant_mach,164.1536391267018,70136.15360136087
constant_mach,169.1536391267018,70067.50188502844
constant_mach,174.1536391267018,69998.95374111806
constant_mach,179.1536391267018,69930.50880448156
constant_mach,184.1536391267018,69862.16671143322
constant_mach,189.1536391267018,69793.92709974197
constant_mach,194.1536391267018,69725.78960862357
constant_mach,199.1536391267018,69657.75387873294
constant_mach,204.1536391267018,69589.81955215642
constant_mach,209.1536391267018,69521.98627240414
constant_mach,214.1536391267018,69454.25368440243
constant_mach,219.1536391267018,69386.62143448627
constant_mach,224.1536391267018,69319.08917039179
constant_mach,229.1536391267018,69251.65654124881
constant_mach,234.1536391267018,69184.32319757347
constant_mach,239.1536391267018,69117.08879126079
constant_mach,244.1536391267018,69049.95297557744
constant_mach,249.1536391267018,68982.9154051544
constant_mach,254.1536391267018,68915.97573597977
constant_mach,259.1536391267018,68849.13362539155
constant_mach,264.1536391267018,68782.38873207055
constant_mach,269.1536391267018,68715.74071603327
constant_mach,274.1536391267018,68649.1892386248
constant_mach,279.1536391267018,68582.73396251186
constant_mach,284.1536391267018,68516.37455167585
constant_mach,289.1536391267018,68450.11067140586
constant_mach,294.1536391267018,68383.94198829183
constant_mach,299.1536391267018,68317.86817021773
