distance_m,height_m,airspeed_mps,mass_kg,time_s,thrust_n,gamma_rad,temperature_k,density_kgm3,sound_speed_mps,pressure_pa,groundspeed_mps,mach,cl,cd,drag_n,dh_dx,dV_dx,dm_dx,dt_dx,scaled_constraint_violation
107542.74233333333,11994.081367984856,234.8523720338263,64985.398060152365,455.81030795321516,40003.72477697194,-0.0008550772834537604,216.64999999999998,0.31111660904821137,295.0680184296495,19348.149802202177,234.85228617683475,0.7959262182452352,0.6614140880854713,0.0416860868163071,40165.57493098638,-0.0008550774918524478,2.510037629868172e-05,-0.047697109817606616,0.0042579955949291395,0.0
113868.786,11978.402872541907,235.03107575587808,64691.79198944709,482.73644193654866,37879.39392305174,-0.004101708616968932,216.64999999999998,0.31188674781456116,295.0680184296495,19396.04425652078,235.029098675645,0.7965318539322298,0.6557962735541149,0.041353093858335854,40004.170197256324,-0.004101731619524219,3.139740698204625e-05,-0.0451274377752026,0.004254792302888687,0.0
120194.82966666666,11942.681280538236,235.25145443722795,64413.865237313454,509.6400712594955,35901.74941327504,-0.007191645952777136,216.64999999999998,0.31364854499466244,295.0680184296495,19505.60933524152,235.24537088771254,0.7972787281022017,0.6480837512597237,0.040900564689109395,39864.56010533098,-0.007191769938770634,3.8276054967382335e-05,-0.04274004047130982,0.0042508806707925425,0.0
126520.87333333332,11887.775873861308,235.5130419982535,64150.61607171949,536.5167405289175,34025.77528154863,-0.010166408938034853,216.64999999999998,0.31637591617226585,295.0680184296495,19675.222864624975,235.50087127532242,0.7981652611884295,0.6384339342801014,0.0403419049798166,39750.21688724318,-0.010166759205198272,4.442573300916989e-05,-0.04048706938285842,0.004246268791213545,0.0
132846.917,11814.411609407012,235.81085723992558,63901.17631129063,563.3623047026077,32251.64728413724,-0.013026863028858025,216.64999999999998,0.32005726501856413,295.0680184296495,19904.16367614335,235.79084907063526,0.7991745716628653,0.6270290084296882,0.03969244198355431,39665.493610477795,-0.013027599961453565,4.972955815366789e-05,-0.03837415054303317,0.004241046690070795,0.0
139172.96066666665,11723.906428947961,236.14509698414116,63664.09393012515,590.172854542566,30726.258915127713,-0.015584655635942121,216.64999999999998,0.32465779982575504,295.0680184296495,20190.26809497231,236.11641992791712,0.8003073265645805,0.6140857611294559,0.038969559490987446,39614.93649628327,-0.015585917500003004,5.594146210074267e-05,-0.03658024233124152,0.004235198891738598,0.0
145499.00433333332,11617.789665528013,236.51626686207604,63437.70834809732,616.9444182462048,29350.84110000685,-0.017961322721638633,216.64999999999998,0.33013619027650215,295.0680184296495,20530.96581419817,236.47811673608518,0.8015652395024524,0.5998368979223738,0.03819119368491113,39603.00673565535,-0.0179632544663877,6.140514424349658e-05,-0.03499232148803535,0.004228721091837948,0.0
151825.048,11497.203671228935,236.91911861433348,63220.704809911214,643.6733081234688,28125.66569267887,-0.020157682866666318,216.64999999999998,0.3364738669619059,295.0680184296495,20925.102013748077,236.87098631337145,0.8029305238677368,0.5845079902028836,0.03737423157749564,39634.51870817196,-0.02016041354889073,6.59577933155967e-05,-0.033614077588791015,0.004221707417881215,0.0
158151.09166666667,11364.04021863749,237.35517569897942,63011.045506263734,670.3559804785091,27234.751886264108,-0.021936141051271216,216.64999999999998,0.34361403734307994,295.0680184296495,21369.14480069808,237.29807101196693,0.804408342734609,0.5683485971897481,0.036535905756739956,39713.48035352273,-0.021939660243869494,7.19031218541975e-05,-0.03267041701644392,0.004214109266609125,0.0
164477.13533333334,11220.342504337385,237.82646066932466,62806.51874706807,696.9886743887957,26529.549364569728,-0.023486536368223065,216.64999999999998,0.3514891173147968,295.0680184296495,21858.891161277268,237.7608690787075,0.806005550635531,0.551599184059151,0.03569177469346245,39842.82574435356,-0.02349085584860747,7.709520796388225e-05,-0.03199140638314157,0.004205906564334452,0.0
170803.179,11067.549840669693,238.32818581950093,62605.42757204445,723.5678412467327,26010.99738623648,-0.024809967384803497,216.64999999999998,0.3600607044190562,295.0680184296495,22391.95287033612,238.25483997369943,0.8077059218002762,0.5344692019001122,0.034854579750088426,40025.44345607975,-0.02481505910192935,8.152688717586099e-05,-0.03158424551554394,0.004197186508825543,0.0
177129.22266666667,10907.93218759034,238.86112566570972,62405.42160214472,750.0900842405025,25834.097781299846,-0.025642977128551733,217.24844078066275,0.36821328199729875,295.4752627488889,22962.209206610154,238.78259693625654,0.8083963559030897,0.5186328647271738,0.034104102176880174,40229.69877805844,-0.02564859922544271,8.69638391898339e-05,-0.031648315130165125,0.004187909893060389,0.0
183455.26633333333,10743.835498949624,239.4302973301831,62204.07199787947,776.5516952993025,25840.240331256493,-0.02622510745698582,218.31506925682743,0.37596897947066876,296.1997246491651,23560.97610286666,239.347967205887,0.8083407154202362,0.5038835096216101,0.033425436607086606,40451.72746493221,-0.02623112127202427,9.298169848412867e-05,-0.03200904004311375,0.004178017518485129,0.0
189781.31,10577.124,240.0,62000.0,802.9507316975968,25911.724849060523,-0.026469097041735497,219.39869399999998,0.3839756171539512,296.9339205240452,24182.168130764363,239.91593133668795,0.8082606378430423,0.48942293825338945,0.03277906656198615,40707.31644677368,-0.026475280306600187,8.71317183166382e-05,-0.03250900903542677,0.004168126703501995,0.0
