strategy,time_s,distance_m,mass_kg,height_m,airspeed_mps,groundspeed_mps,mach,density_kgm3,lift_N,drag_N,thrust_N,fuel_flow_kgs,climb_rate_mps,energy_residual,lift_balance_residual
constant_mach,259.1536391267018,68231.16366665615,68849.13362539155,9807.428516923228,238.9384906440076,260.0510039268392,0.7956649678178758,0.3196455624204601,675179.356267446,42562.90447319375,45588.1532592489,13.35868903592187,1.1691825244453118,-1.9950242261423704e-17,0.0
constant_mach,264.1536391267018,69531.20099217206,68782.38873207055,9813.27292721511,238.91826499882154,259.96427499014595,0.7956649678178758,0.3193897552705902,674524.8124593596,42521.642421387085,45542.662143649635,13.339279625234852,1.1685821338886884,9.985084961702728e-18,0.0
constant_mach,269.1536391267018,70830.80990083925,68715.74071603327,9819.11434367278,238.89804800331044,259.8796366232583,0.7956649678178758,0.31913428372052477,673871.2186928876,42480.440259637915,45497.24574369135,13.31993807815419,1.1679849897321375,-4.997526151893705e-17,0.0
constant_mach,274.1536391267018,72130.00083706605,68649.1892386248,9824.952782512815,238.87783960353823,259.7970854540384,0.7956649678178758,0.31887914658399086,673218.5716469598,42439.29777858799,45451.90379321765,13.300664129656443,1.167391085808877,4.0020092707696146e-17,0.0
constant_mach,279.1536391267018,73428.78422846201,68582.73396251186,9830.788259921048,238.85763974565594,259.71661813507234,0.7956649678178758,0.31862434267911666,672566.8680134669,42398.21476969605,45406.63602718763,13.281457516116047,1.166800415992928,-7.010498320772454e-17,0.0
constant_mach,284.1536391267018,74727.17048596121,68516.37455167585,9836.620792052778,238.83744837590132,259.6382313435852,0.7956649678178758,0.3183698708284066,671916.104497192,42357.19102523359,45361.44218166993,13.262317975297,1.16621297419898,4.0099902385398374e-17,0.0
constant_mach,289.1536391267018,76025.17000394527,68450.11067140586,9842.450395032994,238.81726544059782,259.56192178135564,0.7956649678178758,0.31811572985871867,671266.2778157422,42316.2263382805,45316.321993836515,13.243245246344268,1.165628754382223,0.0,0.0
constant_mach,294.1536391267018,77322.79316036592,68383.94198829183,9848.277084956553,238.7970908861543,259.48768617463276,0.7956649678178758,0.31786191860124235,670617.384699482,42275.320502720926,45271.27520195681,13.224239069775564,1.1650477505382113,7.031459666211604e-17,0.0
constant_mach,299.1536391267018,78620.05031686716,68317.86817021773,9854.10087788839,238.77692465906418,259.4155212740523,0.7956649678178758,0.3176084358914751,669969.4218914657,42234.473313238945,45226.30154539161,13.205299187472962,1.1644699567027073,-6.032958725533476e-17,0.0
constant_mach,304.1536391267018,79916.9518189069,68251.88888635467,9859.921789863718,238.75676670590488,259.3454238545544,0.7956649678178758,0.31735528056920054,669322.38614737,42193.68456531435,45181.40076458716,13.186425342674697,1.16389536695154,1.0064923689636724e-17,0.0
constant_mach,309.1536391267018,81213.50799587843,68186.00380715424,9865.739836888237,238.7366169733371,259.277390715301,0.7956649678178758,0.3171024514784656,668676.274235429,42152.95405521853,45136.57260106925,13.167617279966963,1.1633239754004552,-7.052443889215107e-17,0.0
constant_mach,314.1536391267018,82509.72916123117,68120.21260434171,9871.555034938316,238.71647540810437,259.2114186795953,0.7956649678178758,0.31684994746755846,668031.0829363676,42112.28158001031,45091.816797437394,13.148874745275803,1.1627557762049727,6.050951811446743e-17,0.0
constant_mach,319.1536391267018,83805.62561259125,68054.51495090942,9877.367399961204,238.69634195703213,259.1475045948004,0.7956649678178758,0.3165977673889866,667386.8090433358,42071.66693753179,45047.13309735888,13.130197485859023,1.162190763560242,1.0094923241921605e-17,0.0
