scenario,time_s,distance_m,mass_kg,height_m,temperature_k,density_kgm3,sound_speed_mps,airspeed_mps,groundspeed_mps,mach,cl,drag_n,thrust_n,fuel_flow_kgs,climb_rate_mps,mass_rate_kgs,fuel_per_meter_kgpm,implicit_denominator
temp_plus_10K,229.1536391267018,60293.54686545275,68967.3519412641,9896.906251407985,233.82010936584808,0.40012789038533547,306.5375790190387,240.0,260.3188496299626,0.7829382641046235,0.5226285835270374,44376.73854951242,49226.53830046064,14.81718802843865,1.7209601806779462,-14.81718802843865,0.05691938194065067,0.9014799756719265
temp_plus_10K,234.1536391267018,61595.01176218988,68893.30679915768,9905.509848446134,233.7641859851001,0.3996983026794084,306.50091912069723,240.0,260.26785166222015,0.7830319096220727,0.522628583527037,44329.09452926764,49172.33190785098,14.800871904263143,1.7204786616406245,-14.800871904263143,0.05686784522074573,0.9015048261762412
temp_plus_10K,239.1536391267018,62896.23280493783,68819.34319133872,9914.111038292507,233.7082782510987,0.39926918801096195,306.4642650958983,240.0,260.22130741229574,0.7831255625346712,0.5226285835270373,44281.50297190067,49118.187075835434,14.784574309826462,1.719997303940195,-14.784574309826462,0.05681538709050339,0.9015296697236154
temp_plus_10K,244.1536391267018,64197.23225295807,68745.46102521275,9922.709821753815,233.65238615860017,0.3988405458427911,306.4276169433112,240.0,260.17921314959983,0.7832192228430891,0.5226285835270378,44233.963817831995,49064.10373207531,14.768295223354666,1.7195161075839425,-14.768295223354666,0.05676201047953466,0.9015545063124093
temp_plus_10K,249.1536391267018,65498.032346865926,68671.66020829488,9931.306199636394,233.59650970236342,0.3984123756383271,306.3909746616058,240.0,260.1415651462519,0.7833128905479952,0.5226285835270372,44186.47700755264,49010.081803983616,14.752034622999068,1.7190350724590646,-14.752034622999068,0.056707718409802974,0.9015793359471824
temp_plus_10K,254.1536391267018,66798.65530864407,68597.94064820869,9939.900172746315,233.54064887714895,0.39798467686162864,306.3543382494523,240.0,260.10835967707766,0.7834065656500592,0.522628583527037,44139.042481623386,48956.121219311135,14.735792487012649,1.7185541985414288,-14.735792487012649,0.056652513995732436,0.9016041586279182
temp_plus_10K,259.1536391267018,68099.12334165607,68524.30225268725,9948.491741889193,233.4848036777202,0.3975574489773905,306.3177077055217,240.0,260.0795930196083,0.7835002481499497,0.5226285835270374,44091.66018067549,48902.22190547933,14.719568793549277,1.7180734856575373,-14.719568793549277,0.05659640044284258,0.9016289743623115
temp_plus_10K,264.1536391267018,69399.45863065991,68450.74492957188,9957.080907870368,233.4289740988426,0.39713069145093616,306.2810830284852,240.0,260.05526145407697,0.7835939380483357,0.5226285835270377,44044.33004540985,48848.38379049658,14.703363520939467,1.7175929338116234,-14.703363520939467,0.05653938104819282,0.9016537831488838
temp_plus_10K,269.1536391267018,70699.68334182148,68377.26858681253,9965.667671494812,233.37316013528368,0.396704403748219,306.2444642170148,240.0,260.03536126341766,0.7836876353458856,0.5226285835270374,43997.05201659727,48794.60680229072,14.687176647489503,1.7171125429476342,-14.687176647489503,0.056481459198971365,0.9016785849892693
temp_plus_10K,274.1536391267018,71999.81962272812,68303.87313246792,9974.25203356714,233.3173617818136,0.3962785853358234,306.2078512697828,240.0,260.01988873326286,0.7837813400432678,0.5226285835270372,43949.82603507856,48740.89086879365,14.671008151506888,1.716632312979172,-14.671008151506888,0.056422638371932,0.9017033798866698
temp_plus_10K,279.1536391267018,73299.88960240202,68230.55847470462,9982.833994891655,233.2615790332042,0.3958532356809585,306.17124418546194,240.0,260.0088401519414,0.7838750521411508,0.5226285835270374,43902.652041763875,48687.23591794142,14.654858011300364,1.71615224378964,-14.654858011300364,0.05636292213271096,0.9017281678458479
temp_plus_10K,284.1536391267018,74599.91539131381,68157.32452179772,9991.413556272284,233.20581188423012,0.39542835425146444,306.1346429627257,240.0,260.0022118104767,0.7839687716402024,0.5226285835270376,43855.52997763322,48633.64187816919,14.638726205328924,1.7156723354096122,-14.638726205328924,0.05630231413569483,0.9017529488639676
temp_plus_10K,289.1536391267018,75899.91908139593,68084.17118213022,9999.990718512625,233.15006032966792,0.3950039405158069,306.0980476002479,240.0,260.0000000025844,0.7840624985410903,0.5226285835270376,43808.45978373606,48580.108677503624,14.622612711928587,1.7151925876915377,-14.622612711928587,0.05624081812224323,0.9017777229473921
temp_plus_10K,294.1536391267018,77199.92274605614,68011.09836419327,10008.565482415892,233.09432436429668,0.3945799939430791,306.061458096703,240.0,260.0022010246705,0.7841562328444823,0.5226285835270373,43761.44140119145,48526.63624438723,14.606517509560554,1.7147130006053777,-14.606517509560554,0.05617843792089515,0.901802490096417
temp_plus_10K,299.1536391267018,78499.94844019094,67938.10597658569,10017.13784878498,233.0386039828976,0.39415651400299817,306.02487445076594,240.0,260.0088111758293,0.7842499745510453,0.5226285835270377,43714.474771187655,48473.224506857376,14.590440576564067,1.7142335739436392,-14.590440576564067,0.05611517744564962,0.901827250320504
temp_plus_10K,304.1536391267018,79800.01820019903,67865.1939280139,10025.707818422434,232.98289918025415,0.3937335001659069,305.9882966611121,240.0,260.0198267578412,0.7843437236614464,0.5226285835270376,43667.55983498226,48419.87339418208,14.574381891648807,1.7137543079102995,-14.574381891648807,0.05605104069706984,0.9018520036078648
temp_plus_10K,309.1536391267018,81100.15404399473,67792.36212729217,10034.275392130436,232.92720995115215,0.3933109519027727,305.95172472641747,240.0,260.03524407517085,0.7844374801763526,0.5226285835270373,43620.69653390219,48366.582834488814,14.55834143318113,1.713275202266975,-14.55834143318113,0.05598603175872811,0.9018767499695581
temp_plus_10K,314.1536391267018,82400.37797102137,67719.61048334104,10042.840570710923,232.87153629037897,0.3928888686851796,305.9151586453581,240.0,260.05505943496513,0.7845312440964316,0.5226285835270377,43573.88480934277,48313.35275623755,14.5423191796275,1.712796256863308,-14.5423191796275,0.055920154798081365,0.9019014894120987
temp_plus_10K,319.1536391267018,83700.71196226472,67646.93890518993,10051.403354965325,232.81587819272536,0.3924672499853442,305.8785984166113,240.0,260.07926914705075,0.7846250154223486,0.5226285835270376,43527.1246027694,48260.18308854412,14.526315109651778,1.712317471753731,-14.526315109651778,0.05585341406599575,0.9019262219314239
temp_plus_10K,324.1536391267018,85001.17798026638,67574.34730197425,10059.963745694844,232.7602356529835,0.3920460952760971,305.8420440388543,240.0,260.10786952393266,0.7847187941547706,0.5226285835270373,43480.41585571565,48207.0737604444,14.510329201893763,1.7118388469328663,-14.510329201893763,0.05578581389502581,0.901950947526561
temp_plus_10K,329.1536391267018,86301.79796913719,67501.83558293682,10068.521743700298,232.70460866594806,0.39162540403089213,305.80549551076507,240.0,260.1408568807919,0.7848125802943637,0.5226285835270372,43433.758509784195,48154.02470041354,14.494361434824473,1.7113603821605208,-14.494361434824473,0.05571735869797044,0.9019756662086688
temp_plus_10K,334.1536391267018,87602.59385457054,67429.40365742712,10077.077349782183,232.6489972264158,0.391205175723802,305.7689528310219,240.0,260.17822753548336,0.7849063738417941,0.5226285835270377,43387.152506646366,48101.03583782053,14.478411787183976,1.7108820774885478,-14.478411787183976,0.05564805296864972,0.9020003779738197
temp_plus_10K,339.1536391267018,88903.58754385581,67357.05143490192,10085.630564740564,232.5934013291863,0.3907854098295229,305.73241599830413,240.0,260.21997780853366,0.7850001747977265,0.5226285835270374,43340.59778804255,48048.10710155528,14.462480237568137,1.710403932763427,-14.462480237568137,0.05557790127939152,0.9020250828286979
temp_plus_10K,344.1536391267018,90204.80092589167,67284.77882492375,10094.181389375313,232.53782096906045,0.390366105823363,305.6958850112908,240.0,260.2661040231399,0.7850939831628275,0.5226285835270374,43294.09429578111,47995.238420914524,14.44656676469527,1.7099259479478244,-14.44656676469527,0.05550690828111387,0.9020497807739856
temp_plus_10K,349.1536391267018,91506.25587119944,67212.58573716217,10102.729824485832,232.48225614084208,0.38994726318125256,305.65935986866197,240.0,260.3166025051667,0.785187798937762,0.5226285835270373,43247.64197173935,47942.429725199865,14.430671347285157,1.7094481229744893,-14.430671347285157,0.055435078701900085,0.9020744718119115
temp_plus_10K,354.1536391267018,92807.97423193644,67140.47208139315,10111.27587087121,232.4267068393371,0.3895288813797385,305.6228405690982,240.0,260.3714695831444,0.785281622123195,0.5226285835270376,43201.240757863,47889.680944196516,14.414793964203149,1.7089704579208,-14.414793964203149,0.05536241734657519,0.9020991559372316
temp_plus_10K,359.1536391267018,94109.97784190932,67068.43776749854,10119.819529330216,232.37117305935357,0.38911095989598277,305.58632711128035,240.0,260.4307015882674,0.7853754527197911,0.5226285835270373,43154.89059616596,47836.99200681601,14.398934594051616,1.7084929525143775,-14.398934594051616,0.05528892909414294,0.9021238331627766
