scenario,time_s,distance_m,mass_kg,reference_height_m,height_m,temperature_k,density_kgm3,sound_speed_mps,pressure_pa,atmosphere_layer,airspeed_mps,groundspeed_mps,mach,cl,cd,drag_n,thrust_n,fuel_flow_kgs,climb_rate_mps,dh_dx,mass_rate_kgs,fuel_per_meter_kgpm,implicit_denominator,cumulative_fuel_time_kg,cumulative_fuel_path_kg,path_integral_mass_kg
standard_isa,296.4153265295442,77904.29186012948,67979.2105401197,9942.362584739385,9942.362584739385,223.52464319919397,0.41566167193186937,299.7129432681546,26669.995454558994,troposphere,240.0,260.0996621491377,0.8007662177781586,0.4958891066377097,0.03306577027368756,44451.955233861794,48597.308857542295,14.627789966120227,1.4923683632127223,0.005737678976134225,-14.627789966120227,0.05623917326633376,1.0,4470.789515990647,4470.788721009194,4470.789459880296
standard_isa,298.4153265295442,78424.48104070101,67949.9609843364,9945.347286849796,9945.347286849796,223.5052426354763,0.415508152882873,299.6999363662242,26657.831313805524,troposphere,240.0,260.0896075716404,0.8008009708307955,0.4958588782129317,0.03306442121961641,44433.72457147552,48577.29780090048,14.621766638071042,1.4923695285758671,0.005737905264687677,-14.621766638071042,0.056218188702689895,1.0,4500.039072594838,4500.038272495145,4500.039015663599
standard_isa,300.4153265295442,78944.65064664863,67920.72347284736,9948.332050214169,9948.332050214169,223.48584167360787,0.41535467406593085,299.68692863281973,26645.67141640683,troposphere,240.0,260.0800873110521,0.8008357291220102,0.49582866734046477,0.033063073031047954,44415.50071359674,48557.289373652886,14.615744101469517,1.492368925926105,0.005738112984179572,-14.615744101469517,0.056197090106284424,1.0,4529.276583334379,4529.275778135423,4529.276527152644
standard_isa,302.4153265295442,79464.80174641279,67891.4980054973,9951.316808956819,9951.316808956819,223.46644074178067,0.4152012388611616,299.6739203549408,26633.516029598042,troposphere,240.0,260.0711015927044,0.8008704918857751,0.49579847001116756,0.03306172552894365,44397.28377942112,48537.28926294401,14.609724068146145,1.4923685600894467,0.005738309835079774,-14.609724068146145,0.05617588412812714,1.0,4558.502051503995,4558.501241201322,4558.501994502702
standard_isa,304.4153265295442,79984.9354095397,67862.28457343987,9954.301498629497,9954.301498629497,223.44704025890826,0.4150478505715061,299.6609118134153,26621.365414407883,troposphere,240.0,260.0626505908253,0.8009052583722921,0.4957682822396399,0.033060378535367946,44379.07388166976,48517.30263952243,14.603708094496248,1.4923702556440392,0.005738502827121029,-14.603708094496248,0.056154576834923066,1.0,4587.715483666638,4587.714668272045,4587.7154265601275
standard_isa,306.4153265295442,80505.05270480445,67833.08317480292,9957.286300211039,9957.286300211039,223.42763904862824,0.41489449988859467,299.64790221937517,26609.21883290243,troposphere,240.0,260.05473380448984,0.8009400306907326,0.49573811515517824,0.03305903254679239,44360.8706899134,48497.313490569446,14.5976913606614,1.4923683573156314,0.005738670223313834,-14.5976913606614,0.056133149922339046,1.0,4616.916883121796,4616.916062638252,4616.916825197084
standard_isa,308.4153265295442,81025.15470125871,67803.8938047272,9960.271013997166,9960.271013997166,223.4082384090184,0.4147411970647029,299.6348924431736,26597.077096559096,troposphere,240.0,260.0473517698644,0.8009748065156214,0.4957079564996611,0.033057687016168145,44342.674564506604,48477.34063747658,14.591679531880446,1.4923695239095482,0.0057388376145828205,-14.591679531880446,0.056111625181223646,1.0,4646.1062540143375,4646.105428449713,4646.106195272805
standard_isa,310.4153265295442,81545.24246817066,67774.71645595181,9963.25577134171,9963.25577134171,223.38883748627887,0.41458793534369487,299.6218819122043,26584.93966966554,troposphere,240.0,260.04050415019077,0.801009587378285,0.49567781431735825,0.0330563423022895,44324.4852629294,48457.37043868822,14.58566850204515,1.4923689212049118,0.005738986417065893,-14.58566850204515,0.05608998701841061,1.0,4675.283602048263,4675.282771416128,4675.283544048187
standard_isa,312.4153265295442,82065.31707426935,67745.55112829575,9966.240526431839,9966.240526431839,223.36943657819302,0.41443471707038254,299.60887082607957,26572.806737342875,troposphere,240.0,260.03419106166797,0.8010443727459524,0.4956476858298862,0.03305499828108347,44306.3028678045,48437.408536418334,14.579659969461916,1.4923685553312371,0.005739124340680711,-14.579659969461916,0.05606824206438415,1.0,4704.448930519769,4704.448094821608,4704.448871704255
standard_isa,314.4153265295442,82585.37958884684,67716.39781295447,9969.225233083007,9969.225233083007,223.3500359849604,0.4142815446059937,299.59585938606705,26560.67848594739,troposphere,240.0,260.02841258836384,0.8010791620812414,0.4956175681726702,0.03305365482466261,44288.12745860439,48417.4600615772,14.573655478534734,1.4923702524144102,0.005739258404722474,-14.573655478534734,0.05604639636671342,1.0,4733.602245967766,4733.60140521332,4733.60218704553
standard_isa,316.4153265295442,83105.43108082516,67687.25650804272,9972.210015677005,9972.210015677005,223.33063489809945,0.41412841155947694,299.582847049859,26548.55440885202,troposphere,240.0,260.0231684968602,0.8011139568349761,0.49558746900208933,0.03305231227443536,44269.958807974144,48397.50912704868,14.56765024724165,1.4923683531746916,0.005739366848737989,-14.56765024724165,0.05602443171296698,1.0,4762.743551693542,4762.742705888361,4762.743491957284
standard_isa,318.4153265295442,83625.47261924794,67658.12720871219,9975.194741143585,9975.194741143585,223.3112341825667,0.4139753247498689,299.56983439750417,26536.435045357888,troposphere,240.0,260.01845902600803,0.8011487554569331,0.4955573801488825,0.03305097026590108,44251.797154944936,48377.57440506215,14.561649895923704,1.4923695206999255,0.005739475290677932,-14.561649895923704,0.05600236979508902,1.0,4791.872851836707,4791.8720009887775,4791.872791287809
standard_isa,320.4153265295442,84145.50527325303,67629.00990773171,9978.179492466812,9978.179492466812,223.29183329896568,0.41382227991174236,299.55682106714806,26524.320057173423,troposphere,240.0,260.0142840364702,0.801183558915529,0.49552730668919426,0.0330496290253591,44233.6423450559,48357.642363531886,14.555650351423095,1.4923689180954738,0.005739565130530101,-14.555650351423095,0.05598019510874828,1.0,4820.990152084054,4820.989296203397,4820.990092268286
standard_isa,322.4153265295442,84665.53011176482,67599.90460489338,9981.164243902704,9981.164243902704,223.27243241463242,0.41366927835721573,299.54380717095177,26512.209547583792,troposphere,240.0,260.0106435712327,0.8012183669116227,0.49549724707607123,0.03304828848369843,44215.49442440362,48337.718598371954,14.549653298109956,1.492368552278971,0.005739644084493489,-14.549653298109956,0.05595791425409061,1.0,4850.095455733587,4850.0945948257595,4850.0953951066185
standard_isa,324.4153265295442,85185.54820391037,67570.81129143554,9984.148967538567,9984.148967538567,223.2530317109993,0.41351632150803547,299.5307928305524,26500.10362851426,troposphere,240.0,260.0075376569028,0.8012531791206202,0.4954671995665681,0.03304694856308518,44197.35343925048,48317.80819940287,14.543660268020261,1.4923702504552971,0.005739719178543888,-14.543660268020261,0.05593553325062286,1.0,4879.188769299717,4879.187903373254,4879.188708564456
standard_isa,326.4153265295442,85705.56061870113,67541.72996545913,9987.133731139302,9987.133731139302,223.23363074759453,0.4133634058832649,299.5177777503963,26488.00202387385,troposphere,240.0,260.0049662262319,0.8012879963339086,0.4954371683420202,0.03304560944986416,44179.21926518744,48297.89540907269,14.537666518130877,1.4923683507922063,0.0057397686377024335,-14.537666518130877,0.05591303400521037,1.0,4908.270096085868,4908.26922514805,4908.270034540867
standard_isa,328.4153265295442,86225.56842517821,67512.66062212684,9990.11846828927,9990.11846828927,223.2142299561197,0.413210534877325,299.50476222001186,26475.905001705978,troposphere,240.0,260.0029293400685,0.801322817777767,0.49540714932435387,0.03304427096207572,44161.09202007834,48277.99874591206,14.531677622519528,1.4923695189490311,0.005739818096422675,-14.531677622519528,0.05589043807853777,1.0,4937.3394402265185,4937.3385642854455,4937.339377873155
standard_isa,330.4153265295442,86745.57269240523,67483.60325423782,9993.103213590619,9993.103213590619,223.19482911166097,0.4130577067090987,299.49174608844095,26463.812420462174,troposphere,240.0,260.0014269698833,0.8013576438568266,0.49537714462007165,0.03304293319353709,44142.971637403316,48258.10479058795,14.52568954196697,1.4923689165996656,0.005739848946184941,-14.52568954196697,0.05586773007845654,1.0,4966.396807391005,4966.395926455001,4966.396745762177
standard_isa,332.4153265295442,87265.5744894087,67454.55786155623,9996.087961371126,9996.087961371126,223.17542825108768,0.4129049216607714,299.4787293803428,26451.724301881153,troposphere,240.0,260.000459121387,0.8013924745059143,0.49534715391414624,0.033041596130088016,44124.85812678527,48238.21909135925,14.519703946499131,1.492368550934215,0.005739868906298622,-14.519703946499131,0.05584491656501377,1.0,4995.442200879471,4995.441314956311,4995.442138443774
