distance_m,height_m,airspeed_mps,mass_kg,time_s,thrust_n,gamma_rad,groundspeed_mps,fuel_per_meter_kgpm
132846.91700000002,10186.473985113138,234.9102481547492,65523.86083237835,515.6740134245549,47683.79962106895,0.0099931197858726,255.9416953104386,0.0521672974448341
137591.44975,10231.350437574312,234.57499435401132,65276.411066039145,534.2040257330821,47680.89296792723,0.0106410013850312,256.1674046582071,0.0521451377646669
142335.9825,10278.918623421216,234.19072763376252,65029.015126163904,552.7136596327315,47677.98631478552,0.0112888829841898,256.50967324506854,0.0521464367937021
147080.51525,10325.8696886102,233.8953201393597,64781.63396349417,571.1917609840001,47674.83492149546,0.0104256659683071,257.0683403044362,0.0521177506792272
151825.048,10368.937003511064,233.818984282123,64534.64924946169,589.6200366015975,47671.683528205394,0.0095624489524243,257.8917294861459,0.0519750090841324
156569.58075000002,10408.146526921078,233.95280820002364,64288.62765227901,607.9813095329844,47668.53213491534,0.0086992319365415,258.9414634981951,0.0517147730082068
161314.1135,10443.527893934835,234.28771742785975,64044.05334519267,626.2613790653751,47665.38074162528,0.0078360149206587,260.1820342460477,0.0513741090952962
166058.64625000002,10475.112739364731,234.8144824371055,63801.15227130159,644.4488029045177,47662.22934833522,0.006972797904776,261.5807375838592,0.0510236428715939
170803.179,10502.932814081129,235.52377067477792,63559.74931015086,662.5346552319478,47659.07795504516,0.0061095808888932,263.1076174574595,0.0507606910432123
175547.71175000002,10527.018405108132,236.40621578056692,63319.1572407163,680.512271854012,47655.9265617551,0.0052463638730104,264.7354143059028,0.050702768434609
180292.2445,10547.39704725257,237.45249691616056,63078.09517215416,698.3769911437533,47652.77516846504,0.0043831468571276,266.4395217741574,0.0509816899765983
185036.77725,10564.09250521064,238.6534208673245,62834.63324143615,716.1258972532909,47649.62377517498,0.0035199298412449,268.1979530551596,0.0517384143940204
189781.31,10577.124000630612,239.9999999848631,62586.15985891313,733.7575702175238,47646.47238188492,0.0026567128253621,269.99131637371346,0.053118701643863
