distance_m,height_m,strategy
37956.262,9690.816475538291,q4_configured_wind_local
42700.79475,9710.729429123008,q4_configured_wind_local
47445.3275,9729.748131813923,q4_configured_wind_local
52189.860250000005,9748.445317365506,q4_configured_wind_local
56934.393,9767.38867531461,q4_configured_wind_local
61678.92575,9786.580217255883,q4_configured_wind_local
66423.45850000001,9806.01925075358,q4_configured_wind_local
71167.99125,9825.7049574303,q4_configured_wind_local
75912.524,9845.63638930742,q4_configured_wind_local
80657.05675,9865.81246542843,q4_configured_wind_local
85401.5895,9886.23196879436,q4_configured_wind_local
90146.12225,9906.893543639217,q4_configured_wind_local
94890.655,9927.79367357446,q4_configured_wind_local
99635.18775,9950.235520051843,q4_configured_wind_local
104379.7205,9975.517956321177,q4_configured_wind_local
109124.25325,10003.63818327153,q4_configured_wind_local
113868.786,10034.590898199536,q4_configured_wind_local
118613.31875,10068.367130161463,q4_configured_wind_local
123357.8515,10104.953390719864,q4_configured_wind_local
128102.38425,10144.330768439471,q4_configured_wind_local
132846.91700000002,10186.473985113138,q4_configured_wind_local
137591.44975,10231.350437574312,q4_configured_wind_local
142335.9825,10278.918623421216,q4_configured_wind_local
147080.51525,10325.8696886102,q4_configured_wind_local
151825.048,10368.937003511064,q4_configured_wind_local
156569.58075000002,10408.146526921078,q4_configured_wind_local
161314.1135,10443.527893934835,q4_configured_wind_local
166058.64625000002,10475.112739364731,q4_configured_wind_local
170803.179,10502.932814081129,q4_configured_wind_local
175547.71175000002,10527.018405108132,q4_configured_wind_local
180292.2445,10547.39704725257,q4_configured_wind_local
185036.77725,10564.09250521064,q4_configured_wind_local
189781.31,10577.124000630612,q4_configured_wind_local
