scenario,distance_m,temperature_k,density_kgm3,sound_speed_mps,pressure_pa
standard_isa,13432.055521087888,225.91094638343608,0.434878326680281,301.30853294108925,28200.875424867478
standard_isa,13962.804938363097,225.89154487209663,0.4347193988155462,301.29559428864786,28188.148271527003
standard_isa,14493.403303430585,225.87214708660576,0.4345605458959425,301.2826575654401,28175.42821234187
standard_isa,15023.851663142734,225.8527428572664,0.4344016846402132,301.2697159889285,28162.708578230187
standard_isa,15554.151088520031,225.8333440760652,0.4342429124021494,301.2567774903136,28149.99716354623
standard_isa,16084.30266991048,225.81394219334865,0.4340841591891605,301.243836367221,28137.288363825875
standard_isa,16614.307441510548,225.79454070433164,0.4339254536010488,301.2308949507831,28124.584468210087
standard_isa,17144.166505087876,225.77514281481143,0.4337668218391573,301.21795537946986,28111.88757308843
standard_isa,17673.880909020245,225.75573870199867,0.4336081835752299,301.205011100699,28099.191248593528
standard_isa,18203.451724186085,225.73633984902511,0.4334496326842789,301.1920697746335,28086.503007311905
standard_isa,18732.880039457097,225.7169380034549,0.4332911017010344,301.1791258959499,28073.81744944601
standard_isa,19262.166891465276,225.6975365368565,0.4331326181746848,301.16618171379486,28061.136779076147
standard_isa,19791.31337967036,225.67813854286948,0.4329742073542408,301.1532392922629,28048.463015505346
standard_isa,20320.320553924143,225.65873454706576,0.4328157918682713,301.1402923097959,28035.7899681836
standard_isa,20849.18948496805,225.63933562202627,0.4326574621086421,301.12734815427126,28023.12486781953
standard_isa,21377.92126024765,225.6199338137484,0.432499153140437,301.1144015183117,28010.462519350967
standard_isa,21906.516918746856,225.6005323696616,0.432340891461078,301.1014545687149,27997.80504177761
standard_isa,22434.977557697574,225.58113427078436,0.4321827013660588,301.0885092948585,27985.154377286708
standard_isa,22963.3042283738,225.56173039245635,0.4320245084441773,301.07555960724613,27972.504574714483
standard_isa,23491.498001385044,225.54233139506715,0.4318663996002826,301.06261262025816,27959.862582821745
standard_isa,24019.55996280129,225.5229296242224,0.4317083124324832,301.0496632253327,27947.223411321236
standard_isa,24547.49115387414,225.5035282027374,0.4315502723854318,301.03671350656566,27934.58909412419
standard_isa,25075.292669688337,225.48412999856063,0.4313923028000586,301.0237653782863,27921.961496284
standard_isa,25602.96556288786,225.46472623815907,0.4312343322283687,301.01081298406706,27909.33490605763
standard_isa,26130.51090395545,225.44532716814624,0.4310764440848251,300.99786316361605,27896.715990228517
standard_isa,26657.92977763647,225.4259254348703,0.4309185785028675,300.9849110080293,27884.09996329448
standard_isa,27185.223227365263,225.40652403607407,0.4307607598735296,300.9719585183595,27871.4887740828
standard_isa,27712.39234616076,225.38712572620324,0.4306030105822677,300.9590075335664,27858.88421050593
standard_isa,28239.43818798429,225.36772208416232,0.4304452621468455,300.946052431266,27846.28080024159
standard_isa,28766.36182319698,225.348322941262,0.4302875944884736,300.933099775357,27833.684928106934
standard_isa,29293.164335270943,225.32892124568536,0.4301299502778651,300.9201448574083,27821.09201336564
standard_isa,29819.8467697377,225.30951986966176,0.429972352851735,300.9071895950992,27808.503919777588
standard_isa,30346.410217632267,225.2901214537168,0.4298148236392945,300.89423575170923,27795.922358118416
standard_isa,30872.855734180364,225.27071793045448,0.4296572971261873,300.88127793984086,27783.34209545206
standard_isa,31399.184389626676,225.251318714413,0.429499849738014,300.8683224464835,27770.76923468133
standard_isa,31925.3972662218,225.2319170566608,0.4293424266843309,300.85536476446663,27758.199399786685
standard_isa,32451.49541150824,225.21251570349057,0.4291850502469905,300.8424067277779,27745.63436948965
standard_isa,32977.479914619646,225.19311718110623,0.429027740898328,300.82945002371554,27733.07577744444
standard_isa,33503.35183199272,225.1737137770237,0.4288704360935534,300.81648950077937,27720.51863003172
standard_isa,34029.11223376093,225.1543144875977,0.4287132087608105,300.80353116798824,27707.96874833297
standard_isa,34554.762201005484,225.13491286778972,0.4285560066496988,300.79057072019174,27695.42196096654
standard_isa,35080.302783193074,225.1155115375504,0.4283988509868191,300.77760990737886,27682.879961657127
standard_isa,35605.73506763905,225.09611290837665,0.4282417612871377,300.7646503405766,27670.344306964
standard_isa,36131.06011193737,225.0767096238581,0.4280846779766827,300.75168710505994,27657.810242480216
standard_isa,36656.278986115554,225.05731026081463,0.4279276704848084,300.73872593085446,27645.2833076001
standard_isa,37181.392770137856,225.0379086790653,0.4277706891019838,300.72576271556113,27632.75953547114
standard_isa,37706.4025153078,225.01850737183105,0.4276137539993228,300.7127991248755,27620.240534875007
standard_isa,38231.30930720605,224.999108635533,0.4274568837340728,300.699836693274,27607.72778531397
standard_isa,38756.11420452975,224.97970547094576,0.4273000217038943,300.68687074365084,27595.21677145408
standard_isa,39280.81827720576,224.96030603406237,0.427143233838533,300.6739067260553,27582.712751177824
standard_isa,39805.422604134175,224.94090449048056,0.42698647296978,300.6609407415427,27570.2119620232
standard_isa,40329.92823836741,224.92150320632228,0.4268297582131835,300.6479743712316,27557.71592789512
standard_isa,40854.33626383562,224.9021043625804,0.4266731071680638,300.63500907277944,27545.22605128812
standard_isa,41378.64774028472,224.88270131827443,0.4265164662040855,300.6220404075106,27532.738055766524
standard_isa,41902.86373754619,224.8633018073393,0.4263598977510894,300.60907354455463,27520.256917918046
standard_isa,42426.98533350911,224.84390030202843,0.4262033571822616,300.5961047890943,27507.779079502197
standard_isa,42951.01358288636,224.8244990410139,0.4260468625576636,300.583135637401,27495.305979626064
standard_isa,43474.94956804219,224.80510008952413,0.4258904305186205,300.57016747005525,27482.838943836883
standard_isa,43998.794349716576,224.78569716583195,0.4257340104067346,300.5571960875881,27470.37393438756
standard_isa,44522.54899765098,224.7662975806441,0.4255776611521628,300.54422637730613,27457.915646829355
standard_isa,45046.21458877685,224.74689611370192,0.4254213406691824,300.5312548491644,27445.46072694429
standard_isa,45569.792179378586,224.72749487589536,0.4252650659626037,300.518282914328,27433.010529132996
